reactiveSite,EC1,EC2,EC3,EC4,EC5,EC6
17|17|17|26|28|3|39|44|44|,1,0,0,0,0,0
17|17|17|26|37|44|,1,0,0,0,0,0
17|17|17|26|3|37|,1,0,0,0,0,0
17|17|17|27|29|,0,0,0,0,1,0
17|17|17|27|29|3|41|44|,0,1,0,0,0,0
17|17|17|27|29|41|41|44|,0,1,0,0,0,0
17|17|17|29|29|44|44|,1,0,0,0,0,0
17|17|17|29|44|,0,1,0,1,0,0
17|17|17|44|44|8|,0,0,0,1,0,0
17|17|18|18|18|18|18|18|18|18|29|29|44|44|,1,0,0,0,0,0
17|17|18|18|18|18|18|18|18|22|27|28|28|29|29|29|,0,0,0,0,1,0
17|17|18|18|18|18|18|18|18|26|29|29|44|44|,1,0,0,0,0,0
17|17|18|18|18|18|18|18|22|26|27|28|28|29|29|29|,0,0,0,0,1,0
17|17|18|18|18|18|18|18|26|26|29|29|44|44|,1,0,0,0,0,0
17|17|18|18|18|18|18|22|26|26|27|28|28|29|29|29|,0,0,0,0,1,0
17|17|18|18|18|18|18|26|26|26|29|29|44|44|,1,0,0,0,0,0
17|17|18|18|18|18|18|28|29|44|44|,1,0,0,0,0,0
17|17|18|18|18|18|22|26|26|26|27|28|28|29|29|29|,0,0,0,0,1,0
17|17|18|18|18|18|26|26|26|26|29|29|44|44|,1,0,0,0,0,0
17|17|18|18|18|18|26|28|29|44|44|,1,0,0,0,0,0
17|17|18|18|18|18|29|29|44|44|,1,0,0,0,0,0
17|17|18|18|18|19|19|25|27|28|29|29|31|31|39|41|44|44|44|44|44|,0,1,0,0,0,0
17|17|18|18|18|22|27|29|44|44|,0,0,0,1,0,0
17|17|18|18|18|26|26|26|26|26|29|29|44|44|,1,0,0,0,0,0
17|17|18|18|18|26|26|28|29|44|44|,1,0,0,0,0,0
17|17|18|18|18|26|29|29|44|44|,1,0,0,0,0,0
17|17|18|18|18|27|28|29|29|44|,0,0,1,0,0,0
17|17|18|18|18|27|28|29|44|,0,0,0,1,0,0
17|17|18|18|18|27|28|44|,0,0,0,0,1,0
17|17|18|18|18|28|29|29|44|,0,0,0,1,0,0
17|17|18|18|19|19|19|27|28|28|29|29|29|3|39|41|44|44|44|44|44|,0,1,0,0,0,0
17|17|18|18|19|22|27|29|44|44|,0,0,0,1,0,0
17|17|18|18|20|22|27|29|44|44|,0,0,0,1,0,0
17|17|18|18|22|25|27|29|44|44|,0,0,0,1,0,0
17|17|18|18|22|26|27|29|44|44|,0,0,0,1,0,0
17|17|18|18|26|26|26|26|26|26|29|29|44|44|,1,0,0,0,0,0
17|17|18|18|26|26|26|28|29|44|44|,1,0,0,0,0,0
