EC1,EC2,EC3,EC4,EC5,EC6
18;26;26;26;28;28;29;37;37;,17;26;28;40;44;46;46;,1;1;18;19;26;28;28;29;44;,1;17;26;28;29;3;44;,17;18;18;18;28;29;44;67;,
18;26;26;28;28;29;37;37;37;,18;19;28;39;44;44;44;,1;1;18;25;26;28;28;29;44;,1;17;26;29;3;37;44;,17;18;18;26;28;29;42;44;,
18;26;28;28;29;37;37;37;37;,18;19;28;39;44;44;46;,1;1;19;26;26;28;28;29;44;,1;18;19;28;29;3;44;,17;18;18;26;28;29;43;44;,
18;28;28;29;37;37;37;37;37;,18;19;28;39;44;46;46;,1;1;25;26;26;28;28;29;44;,1;18;19;29;3;37;44;,17;18;18;26;28;29;44;67;,
18;18;18;18;18;18;29;,18;19;28;3;39;44;44;,1;25;26;26;28;28;29;29;44;,1;18;20;28;29;3;44;,17;18;26;26;28;29;42;44;,
18;18;18;18;18;26;29;,18;19;28;3;39;44;46;,1;25;26;26;28;28;29;3;44;,1;18;20;29;3;37;44;,17;18;26;26;28;29;43;44;,
18;18;18;18;18;29;37;,18;19;28;3;3;39;44;,1;25;26;26;28;28;29;44;44;,1;19;26;28;29;3;44;,17;18;26;26;28;29;44;67;,
18;18;18;18;26;26;29;,18;19;28;3;3;40;44;,1;25;26;26;28;28;29;44;46;,1;19;26;29;3;37;44;,18;18;18;18;28;29;42;44;,
18;18;18;18;26;29;37;,18;19;28;3;40;44;44;,25;26;26;28;28;29;29;29;44;,1;20;26;28;29;3;44;,18;18;18;18;28;29;43;44;,
18;18;18;18;29;37;37;,18;19;28;3;40;44;46;,25;26;26;28;28;29;29;3;44;,1;20;26;29;3;37;44;,18;18;18;18;28;29;44;67;,
18;18;18;26;26;26;29;,18;19;28;40;44;44;44;,25;26;26;28;28;29;29;44;44;,20;26;28;29;3;3;44;,18;18;18;20;28;29;42;44;,
18;18;18;26;26;29;37;,18;19;28;40;44;44;46;,25;26;26;28;28;29;29;44;46;,20;26;28;29;3;44;44;,18;18;18;20;28;29;43;44;,
18;18;18;26;29;37;37;,18;19;28;40;44;46;46;,25;26;26;28;28;29;3;3;44;,20;26;29;3;37;44;44;,18;18;18;20;28;29;44;67;,
18;18;18;29;37;37;37;,19;26;28;39;44;44;44;,25;26;26;28;28;29;3;44;44;,20;26;29;3;3;37;44;,18;18;18;26;28;29;42;44;,
18;18;26;26;26;26;29;,19;26;28;39;44;44;46;,25;26;26;28;28;29;3;44;46;,17;18;28;39;44;,18;18;18;26;28;29;43;44;,
18;18;26;26;26;29;37;,19;26;28;39;44;46;46;,25;26;26;28;28;29;44;44;44;,17;22;28;39;44;,18;18;18;26;28;29;44;67;,
18;18;26;26;29;37;37;,19;26;28;3;39;44;44;,25;26;26;28;28;29;44;44;46;,17;26;28;39;44;,18;18;20;26;28;29;42;44;,
18;18;26;29;37;37;37;,19;26;28;3;39;44;46;,25;26;26;28;28;29;44;46;46;,18;19;28;39;44;,18;18;20;26;28;29;43;44;,
18;18;29;37;37;37;37;,19;26;28;3;3;39;44;,17;18;18;28;28;29;29;,18;25;28;39;44;,18;18;20;26;28;29;44;67;,
18;26;26;26;26;26;29;,19;26;28;3;3;40;44;,17;18;18;28;28;29;3;,19;22;28;39;44;,18;18;26;26;28;29;42;44;,
18;26;26;26;26;29;37;,19;26;28;3;40;44;44;,17;18;18;28;28;29;44;,19;26;28;39;44;,18;18;26;26;28;29;43;44;,
18;26;26;26;29;37;37;,19;26;28;3;40;44;46;,17;18;18;28;28;29;46;,22;25;28;39;44;,18;18;26;26;28;29;44;67;,
18;26;26;29;37;37;37;,19;26;28;40;44;44;44;,17;18;18;28;28;3;3;,25;26;28;39;44;,18;20;26;26;28;29;42;44;,
18;26;29;37;37;37;37;,19;26;28;40;44;44;46;,17;18;18;28;28;3;44;,17;17;29;39;44;,18;20;26;26;28;29;43;44;,
18;29;37;37;37;37;37;,19;26;28;40;44;46;46;,17;18;18;28;28;3;46;,17;19;29;39;44;,18;20;26;26;28;29;44;67;,
18;18;28;28;29;3;3;3;31;4;44;,18;18;18;18;19;19;26;29;29;3;37;,17;18;18;28;28;44;44;,17;20;29;39;44;,18;18;18;18;19;27;28;44;44;66;,
18;26;28;28;29;3;3;3;31;4;44;,17;17;18;18;19;19;19;27;28;28;29;29;29;3;39;41;44;44;44;44;44;,17;18;18;28;28;44;46;,19;19;29;39;44;,18;18;18;18;19;27;28;44;44;69;,
18;18;18;28;29;3;3;31;44;,27;29;3;41;,17;18;18;28;28;46;46;,19;20;29;39;44;,18;18;18;18;19;27;28;44;44;77;,
18;18;26;28;29;3;3;31;44;,27;28;29;29;3;3;3;3;41;,17;18;26;28;28;29;29;,20;20;29;39;44;,18;18;18;18;26;27;28;44;44;66;,
18;28;29;3;3;39;44;,27;29;29;3;3;44;,17;18;26;28;28;29;3;,18;22;26;28;31;44;,18;18;18;18;26;27;28;44;44;69;,
18;18;29;29;3;3;31;44;,27;27;29;3;3;41;,17;18;26;28;28;29;44;,18;26;26;28;31;44;,18;18;18;18;26;27;28;44;44;77;,
18;18;26;28;28;28;3;3;31;4;44;,27;29;3;3;44;,17;18;26;28;28;29;46;,22;26;26;28;31;44;,18;18;18;19;26;27;28;44;44;66;,
18;26;26;28;28;28;3;3;31;4;44;,27;29;3;3;41;,17;18;26;28;28;3;3;,26;26;26;28;31;44;,18;18;18;19;26;27;28;44;44;69;,
26;26;26;28;28;28;3;3;31;4;44;,28;3;3;44;,17;18;26;28;28;3;44;,17;18;18;29;31;44;,18;18;18;19;26;27;28;44;44;77;,
18;18;26;29;3;3;37;4;44;,18;22;27;27;27;29;29;41;41;41;44;,17;18;26;28;28;3;46;,17;18;26;29;31;44;,18;18;18;26;26;27;28;44;44;66;,
18;26;26;29;3;3;37;4;44;,27;27;27;29;41;41;41;,17;18;26;28;28;44;44;,18;18;19;29;31;44;,18;18;18;26;26;27;28;44;44;69;,
26;26;26;29;3;3;37;4;44;,18;18;19;25;27;28;28;41;44;,17;18;26;28;28;44;46;,18;19;26;29;31;44;,18;18;18;26;26;27;28;44;44;77;,
18;18;28;28;29;3;3;3;3;,18;18;19;22;27;28;29;41;44;,17;18;26;28;28;46;46;,17;18;19;26;28;28;29;44;44;,18;18;19;26;26;27;28;44;44;66;,
18;26;28;28;29;3;3;3;3;,17;17;19;27;27;29;29;41;,17;26;26;28;28;29;29;,17;18;25;26;28;28;29;44;44;,18;18;19;26;26;27;28;44;44;69;,
18;28;28;29;3;3;3;3;37;,17;17;19;27;27;,17;26;26;28;28;29;3;,17;19;26;26;28;28;29;44;44;,18;18;19;26;26;27;28;44;44;77;,
18;18;29;,29;31;41;44;44;,17;26;26;28;28;29;44;,17;25;26;26;28;28;29;44;44;,18;18;26;26;26;27;28;44;44;66;,
18;18;31;,29;39;41;44;44;,17;26;26;28;28;29;46;,18;19;19;26;28;28;29;44;44;,18;18;26;26;26;27;28;44;44;69;,
18;26;29;,29;3;31;41;44;,17;26;26;28;28;3;3;,18;19;25;26;28;28;29;44;44;,18;18;26;26;26;27;28;44;44;77;,
18;26;31;,29;3;39;41;44;,17;26;26;28;28;3;44;,19;19;26;26;28;28;29;44;44;,17;18;18;18;26;28;29;42;44;44;,
18;29;37;,3;44;62;,17;26;26;28;28;3;46;,19;25;26;26;28;28;29;44;44;,17;18;18;18;26;28;29;43;44;44;,
18;31;37;,44;44;62;,17;26;26;28;28;44;44;,17;17;17;17;27;29;29;44;44;,17;18;18;18;26;28;29;44;44;67;,
26;26;29;,27;27;29;41;41;,17;26;26;28;28;44;46;,17;17;17;19;27;29;29;44;44;,17;18;18;26;26;28;29;42;44;44;,
26;26;31;,27;29;41;44;,17;26;26;28;28;46;46;,17;17;17;20;27;29;29;44;44;,17;18;18;26;26;28;29;43;44;44;,
26;29;37;,27;27;27;27;29;29;41;41;41;41;44;44;,18;18;19;28;28;29;29;,17;17;19;19;27;29;29;44;44;,17;18;18;26;26;28;29;44;44;67;,
26;31;37;,27;27;27;3;41;41;,18;18;19;28;28;29;3;,17;17;19;20;27;29;29;44;44;,17;18;26;26;26;28;29;42;44;44;,
18;18;18;19;26;26;28;28;28;44;,23;27;27;27;27;29;29;41;41;41;41;44;44;,18;18;19;28;28;29;44;,17;19;19;20;27;29;29;44;44;,17;18;26;26;26;28;29;43;44;44;,
18;18;18;26;26;26;29;44;,17;17;17;19;27;29;3;44;,18;18;19;28;28;29;46;,17;17;17;18;26;28;29;44;,17;18;26;26;26;28;29;44;44;67;,
18;18;28;28;29;,17;17;17;19;27;29;41;44;,18;18;19;28;28;3;3;,17;17;18;19;26;28;29;44;,18;18;18;18;26;28;29;42;44;44;,
18;18;28;28;44;,17;17;17;27;29;3;41;44;,18;18;19;28;28;3;44;,17;17;18;20;26;28;29;44;,18;18;18;18;26;28;29;43;44;44;,
18;26;28;28;29;,17;17;17;27;29;41;41;44;,18;18;19;28;28;3;46;,17;17;18;25;26;28;29;44;,18;18;18;18;26;28;29;44;44;67;,
18;26;28;28;44;,17;17;18;19;27;29;3;44;,18;18;19;28;28;44;44;,17;18;19;19;26;28;29;44;,18;18;18;26;26;28;29;42;44;44;,
18;28;28;29;37;,17;17;18;19;27;29;41;44;,18;18;19;28;28;44;46;,17;18;19;20;26;28;29;44;,18;18;18;26;26;28;29;43;44;44;,
18;28;28;37;44;,17;17;18;27;29;3;41;44;,18;18;19;28;28;46;46;,17;18;19;25;26;28;29;44;,18;18;18;26;26;28;29;44;44;67;,
26;26;28;28;29;,17;17;18;27;29;41;41;44;,18;18;20;28;28;29;29;,17;18;20;20;26;28;29;44;,18;18;26;26;26;28;29;42;44;44;,
26;26;28;28;44;,17;17;19;19;27;29;3;44;,18;18;20;28;28;29;3;,17;18;20;25;26;28;29;44;,18;18;26;26;26;28;29;43;44;44;,
26;28;28;29;37;,17;17;19;19;27;29;41;44;,18;18;20;28;28;29;44;,18;19;19;19;26;28;29;44;,18;18;26;26;26;28;29;44;44;67;,
26;28;28;37;44;,17;17;19;27;27;29;3;44;,18;18;20;28;28;29;46;,18;19;19;20;26;28;29;44;,17;17;18;18;18;27;28;44;,
18;18;44;,17;17;19;27;27;29;41;44;,18;18;20;28;28;3;3;,18;19;19;25;26;28;29;44;,17;17;18;18;26;27;28;44;,
18;26;44;,17;17;19;27;29;31;41;44;,18;18;20;28;28;3;44;,18;19;20;20;26;28;29;44;,17;17;18;26;26;27;28;44;,
18;37;44;,17;17;19;27;29;35;41;44;,18;18;20;28;28;3;46;,18;19;20;25;26;28;29;44;,17;18;18;18;19;27;28;44;,
26;26;44;,17;17;19;27;29;3;31;44;,18;18;20;28;28;44;44;,18;20;20;25;26;28;29;44;,17;18;18;18;20;27;28;44;,
26;37;44;,17;17;19;27;29;3;35;44;,18;18;20;28;28;44;46;,17;17;17;17;18;29;29;44;,17;18;18;18;25;27;28;44;,
28;29;44;9;,17;17;19;27;29;3;41;44;,18;18;20;28;28;46;46;,17;17;17;18;19;29;29;44;,17;18;18;19;26;27;28;44;,
11;44;,17;17;19;27;29;41;41;44;,18;19;26;28;28;29;29;,17;17;17;18;20;29;29;44;,17;18;18;20;26;27;28;44;,
17;17;18;27;28;29;,17;17;27;27;29;3;41;44;,18;19;26;28;28;29;3;,17;17;18;19;19;29;29;44;,17;18;18;25;26;27;28;44;,
17;17;17;29;29;44;44;,17;17;27;27;29;41;41;44;,18;19;26;28;28;29;44;,17;17;18;19;20;29;29;44;,17;18;19;26;26;27;28;44;,
18;18;18;20;26;26;26;26;26;26;27;28;29;29;44;,17;17;27;29;31;41;41;44;,18;19;26;28;28;29;46;,17;17;18;20;20;29;29;44;,17;18;20;26;26;27;28;44;,
18;18;18;18;26;26;26;26;26;26;29;29;44;,17;17;27;29;35;41;41;44;,18;19;26;28;28;3;3;,17;18;19;19;19;29;29;44;,17;18;25;26;26;27;28;44;,
18;18;18;19;26;26;28;28;28;29;44;,17;17;27;29;3;31;41;44;,18;19;26;28;28;3;44;,17;18;19;19;20;29;29;44;,18;18;18;19;20;27;28;44;,
18;18;18;26;26;26;29;29;44;,17;17;27;29;3;35;41;44;,18;19;26;28;28;3;46;,17;18;19;20;20;29;29;44;,18;18;18;20;25;27;28;44;,
17;18;18;18;18;18;28;28;28;44;,17;18;18;19;27;29;3;44;,18;19;26;28;28;44;44;,17;18;20;20;20;29;29;44;,18;18;19;20;26;27;28;44;,
17;18;18;18;18;26;28;28;28;44;,17;18;18;19;27;29;41;44;,18;19;26;28;28;44;46;,18;28;3;44;5;,18;18;20;25;26;27;28;44;,
17;18;18;18;18;28;28;28;37;44;,17;18;18;27;29;3;41;44;,18;19;26;28;28;46;46;,22;28;3;44;5;,18;19;20;26;26;27;28;44;,
17;18;18;18;26;26;28;28;28;44;,17;18;18;27;29;41;41;44;,18;20;26;28;28;29;29;,26;28;3;44;5;,18;20;25;26;26;27;28;44;,
17;18;18;18;26;28;28;28;37;44;,17;18;19;19;27;29;3;44;,18;20;26;28;28;29;3;,17;29;3;44;5;,18;18;18;18;18;28;29;44;,
17;18;18;18;28;28;28;37;37;44;,17;18;19;19;27;29;41;44;,18;20;26;28;28;29;44;,19;29;3;44;5;,18;18;18;18;22;28;29;44;,
18;18;18;18;18;19;28;28;28;44;,17;18;19;27;27;29;3;44;,18;20;26;28;28;29;46;,20;29;3;44;5;,18;18;18;18;26;28;29;44;,
18;18;18;18;18;28;28;28;31;44;,17;18;19;27;27;29;41;44;,18;20;26;28;28;3;3;,18;18;18;18;18;18;25;26;28;28;28;29;44;44;44;,18;18;18;22;26;28;29;44;,
18;18;18;18;19;26;28;28;28;44;,17;18;19;27;29;31;41;44;,18;20;26;28;28;3;44;,18;18;18;18;18;25;26;26;28;28;28;29;44;44;44;,18;18;18;26;26;28;29;44;,
18;18;18;18;19;28;28;28;37;44;,17;18;19;27;29;35;41;44;,18;20;26;28;28;3;46;,18;18;18;18;18;25;26;28;28;28;29;29;44;44;44;,18;18;22;26;26;28;29;44;,
18;18;18;18;26;28;28;28;31;44;,17;18;19;27;29;3;31;44;,18;20;26;28;28;44;44;,18;18;18;18;25;26;26;28;28;28;29;29;44;44;44;,18;18;26;26;26;28;29;44;,
18;18;18;18;28;28;28;31;37;44;,17;18;19;27;29;3;35;44;,18;20;26;28;28;44;46;,18;18;18;18;18;18;26;26;28;28;29;44;,18;22;26;26;26;28;29;44;,
18;18;18;19;26;28;28;28;37;44;,17;18;19;27;29;3;41;44;,18;20;26;28;28;46;46;,18;18;18;18;18;26;26;26;28;28;29;44;,18;26;26;26;26;28;29;44;,
18;18;18;19;28;28;28;37;37;44;,17;18;19;27;29;41;41;44;,19;26;26;28;28;29;29;,18;18;18;18;18;26;26;28;28;29;29;44;,27;3;3;3;3;3;44;,
18;18;18;26;26;28;28;28;31;44;,17;18;27;27;29;3;41;44;,19;26;26;28;28;29;3;,18;18;18;18;26;26;26;28;28;29;29;44;,18;29;3;3;44;,
18;18;18;26;28;28;28;31;37;44;,17;18;27;27;29;41;41;44;,19;26;26;28;28;29;44;,18;18;25;26;26;26;26;28;28;3;3;44;44;,26;29;3;3;44;,
18;18;18;28;28;28;31;37;37;44;,17;18;27;29;31;41;41;44;,19;26;26;28;28;29;46;,18;18;25;26;26;26;26;28;28;3;44;44;44;,17;17;17;17;17;17;27;29;41;44;,
18;18;18;18;18;18;29;44;,17;18;27;29;35;41;41;44;,19;26;26;28;28;3;3;,18;18;25;26;26;26;26;28;28;3;4;44;44;,17;17;17;17;17;19;27;29;41;44;,
18;18;18;18;18;26;29;44;,17;18;27;29;3;31;41;44;,19;26;26;28;28;3;44;,18;18;25;26;26;26;26;28;28;4;44;44;44;,17;17;17;17;17;20;27;29;41;44;,
18;18;18;18;18;29;37;44;,17;18;27;29;3;35;41;44;,19;26;26;28;28;3;46;,17;18;18;19;28;3;3;3;39;4;44;44;,17;17;17;17;19;19;27;29;41;44;,
18;18;18;18;26;26;29;44;,17;19;19;19;27;29;3;44;,19;26;26;28;28;44;44;,17;18;18;19;28;3;3;3;3;39;44;44;,17;17;17;17;19;20;27;29;41;44;,
18;18;18;18;26;29;37;44;,17;19;19;19;27;29;41;44;,19;26;26;28;28;44;46;,17;18;18;19;28;3;3;3;3;39;4;44;,17;17;17;17;20;20;27;29;41;44;,
18;18;18;18;29;37;37;44;,17;19;19;27;27;29;3;44;,19;26;26;28;28;46;46;,17;18;18;19;28;3;3;3;3;3;39;44;,17;17;17;19;19;19;27;29;41;44;,
18;18;18;26;26;29;37;44;,17;19;19;27;27;29;41;44;,1;17;18;18;28;28;29;,19;26;26;28;28;29;3;3;3;44;44;44;,17;17;17;19;19;20;27;29;41;44;,
18;18;18;26;29;37;37;44;,17;19;19;27;29;31;41;44;,1;17;18;18;28;28;3;,17;17;18;29;29;3;3;3;44;,17;17;17;19;20;20;27;29;41;44;,
18;18;18;29;37;37;37;44;,17;19;19;27;29;35;41;44;,1;17;18;18;28;28;44;,17;17;17;18;18;22;27;29;44;44;,17;17;17;20;20;20;27;29;41;44;,
28;3;3;3;3;3;44;44;,17;19;19;27;29;3;31;44;,1;17;18;18;28;28;46;,17;17;18;18;18;22;27;29;44;44;,17;17;19;19;19;19;27;29;41;44;,
28;3;3;3;3;3;44;5;,17;19;19;27;29;3;35;44;,1;17;18;26;28;28;29;,17;17;18;18;19;22;27;29;44;44;,17;17;19;19;19;20;27;29;41;44;,
28;3;3;3;3;44;44;44;,17;19;19;27;29;3;41;44;,1;17;18;26;28;28;3;,17;17;18;18;20;22;27;29;44;44;,17;17;19;19;20;20;27;29;41;44;,
28;3;3;3;3;44;44;5;,17;19;19;27;29;41;41;44;,1;17;18;26;28;28;44;,17;17;18;18;22;25;27;29;44;44;,17;17;19;20;20;20;27;29;41;44;,
28;3;3;3;44;44;44;5;,17;19;27;27;29;3;41;44;,1;17;18;26;28;28;46;,17;17;18;18;22;26;27;29;44;44;,17;17;20;20;20;20;27;29;41;44;,
3;3;3;3;3;3;44;,17;19;27;27;29;41;41;44;,1;17;26;26;28;28;29;,17;18;18;18;19;22;27;29;44;44;,17;19;19;19;19;20;27;29;41;44;,
3;3;3;3;3;44;44;,17;19;27;29;31;41;41;44;,1;17;26;26;28;28;3;,17;18;18;18;20;22;27;29;44;44;,17;19;19;19;20;20;27;29;41;44;,
3;3;3;3;3;44;5;,17;19;27;29;35;41;41;44;,1;17;26;26;28;28;44;,17;18;18;18;22;25;27;29;44;44;,17;19;19;20;20;20;27;29;41;44;,
3;3;3;3;44;44;44;,17;19;27;29;3;31;41;44;,1;17;26;26;28;28;46;,17;18;18;19;19;22;27;29;44;44;,17;19;20;20;20;20;27;29;41;44;,
3;3;3;3;44;44;5;,17;19;27;29;3;35;41;44;,1;18;18;19;28;28;29;,17;18;18;19;20;22;27;29;44;44;,17;20;20;20;20;20;27;29;41;44;,
3;3;3;44;44;44;5;,18;18;19;19;27;29;3;44;,1;18;18;19;28;28;3;,17;18;18;19;22;25;27;29;44;44;,17;17;17;17;17;19;27;27;41;44;,
18;28;39;,18;18;19;19;27;29;41;44;,1;18;18;19;28;28;44;,17;18;18;19;22;26;27;29;44;44;,17;17;17;17;19;19;27;27;41;44;,
17;18;28;29;39;44;44;,18;18;19;27;29;3;41;44;,1;18;18;19;28;28;46;,17;18;18;20;20;22;27;29;44;44;,17;17;17;17;19;20;27;27;41;44;,
18;26;28;29;29;44;44;9;,18;18;19;27;29;41;41;44;,1;18;18;20;28;28;29;,17;18;18;20;22;25;27;29;44;44;,17;17;17;19;19;19;27;27;41;44;,
18;18;19;28;28;29;44;44;44;7;,18;19;19;19;27;29;3;44;,1;18;18;20;28;28;3;,17;18;18;20;22;26;27;29;44;44;,17;17;17;19;19;20;27;27;41;44;,
17;17;18;18;18;18;29;29;44;44;,18;19;19;19;27;29;41;44;,1;18;18;20;28;28;44;,17;18;18;22;25;26;27;29;44;44;,17;17;17;19;20;20;27;27;41;44;,
17;17;18;18;18;26;29;29;44;44;,18;19;19;27;27;29;3;44;,1;18;18;20;28;28;46;,18;18;18;19;19;22;27;29;44;44;,17;17;19;19;19;19;27;27;41;44;,
17;17;18;18;26;26;29;29;44;44;,18;19;19;27;27;29;41;44;,1;18;19;26;28;28;29;,18;18;18;19;20;22;27;29;44;44;,17;17;19;19;19;20;27;27;41;44;,
17;17;18;26;26;26;29;29;44;44;,18;19;19;27;29;31;41;44;,1;18;19;26;28;28;3;,18;18;18;19;22;25;27;29;44;44;,17;17;19;19;20;20;27;27;41;44;,
17;17;26;26;26;26;29;29;44;44;,18;19;19;27;29;35;41;44;,1;18;19;26;28;28;44;,18;18;18;20;22;25;27;29;44;44;,17;17;19;20;20;20;27;27;41;44;,
17;18;18;18;18;20;29;29;44;44;,18;19;19;27;29;3;31;44;,1;18;19;26;28;28;46;,18;18;19;19;19;22;27;29;44;44;,17;19;19;19;19;19;27;27;41;44;,
17;18;18;18;20;26;29;29;44;44;,18;19;19;27;29;3;35;44;,1;18;20;26;28;28;29;,18;18;19;19;20;22;27;29;44;44;,17;19;19;19;19;20;27;27;41;44;,
17;18;18;20;26;26;29;29;44;44;,18;19;19;27;29;3;41;44;,1;18;20;26;28;28;3;,18;18;19;19;22;25;27;29;44;44;,17;19;19;19;20;20;27;27;41;44;,
17;18;20;26;26;26;29;29;44;44;,18;19;19;27;29;41;41;44;,1;18;20;26;28;28;44;,18;18;19;19;22;26;27;29;44;44;,17;19;19;20;20;20;27;27;41;44;,
17;20;26;26;26;26;29;29;44;44;,18;19;27;27;29;3;41;44;,1;18;20;26;28;28;46;,18;18;19;20;20;22;27;29;44;44;,17;19;20;20;20;20;27;27;41;44;,
18;18;18;18;20;20;29;29;44;44;,18;19;27;27;29;41;41;44;,1;19;26;26;28;28;29;,18;18;19;20;22;25;27;29;44;44;,19;19;19;19;19;20;27;27;41;44;,
18;18;18;20;20;26;29;29;44;44;,18;19;27;29;31;41;41;44;,1;19;26;26;28;28;3;,18;18;19;20;22;26;27;29;44;44;,19;19;19;19;20;20;27;27;41;44;,
18;18;20;20;26;26;29;29;44;44;,18;19;27;29;35;41;41;44;,1;19;26;26;28;28;44;,18;18;19;22;25;26;27;29;44;44;,19;19;19;20;20;20;27;27;41;44;,
18;20;20;26;26;26;29;29;44;44;,18;19;27;29;3;31;41;44;,1;19;26;26;28;28;46;,18;18;20;20;22;25;27;29;44;44;,19;19;20;20;20;20;27;27;41;44;,
20;20;26;26;26;26;29;29;44;44;,18;19;27;29;3;35;41;44;,1;1;17;18;18;28;28;,18;18;20;22;25;26;27;29;44;44;,19;20;20;20;20;20;27;27;41;44;,
18;18;18;18;18;18;,19;19;19;19;27;29;3;44;,1;1;17;18;26;28;28;,17;17;17;29;44;,18;18;19;19;19;19;20;25;25;25;44;,
18;18;18;18;18;26;,19;19;19;19;27;29;41;44;,1;1;17;26;26;28;28;,17;17;18;29;44;,18;18;19;19;19;20;25;25;25;26;44;,
18;18;18;18;26;26;,19;19;19;27;27;29;3;44;,1;1;18;18;19;28;28;,17;17;19;29;44;,18;18;19;19;19;25;25;25;26;26;44;,
18;18;18;26;26;26;,19;19;19;27;27;29;41;44;,1;1;18;18;20;28;28;,17;17;20;29;44;,18;18;19;19;25;25;25;26;26;26;44;,
18;18;26;26;26;26;,19;19;19;27;29;31;41;44;,1;1;18;19;26;28;28;,17;17;24;29;44;,17;18;19;19;19;20;25;25;25;26;44;,
18;26;26;26;26;26;,19;19;19;27;29;35;41;44;,1;1;18;20;26;28;28;,17;17;26;29;44;,17;18;19;19;20;25;25;25;26;26;44;,
26;26;26;26;26;26;,19;19;19;27;29;3;31;44;,1;1;19;26;26;28;28;,17;18;18;29;44;,17;17;18;19;19;19;19;19;20;20;22;25;25;25;3;44;,
17;17;18;18;18;18;18;18;18;18;29;29;44;44;,19;19;19;27;29;3;35;44;,1;1;20;26;26;28;28;,17;18;19;29;44;,18;18;18;19;19;19;19;25;25;25;25;26;26;26;3;44;,
17;17;18;18;18;18;18;18;18;26;29;29;44;44;,19;19;19;27;29;3;41;44;,1;20;26;26;28;28;29;,17;18;20;29;44;,10;21;37;44;,
17;17;18;18;18;18;18;18;26;26;29;29;44;44;,19;19;19;27;29;41;41;44;,1;20;26;26;28;28;3;,17;18;24;29;44;,10;21;37;4;,
17;17;18;18;18;18;18;26;26;26;29;29;44;44;,19;19;27;27;29;3;41;44;,1;20;26;26;28;28;44;,17;18;26;29;44;,10;21;37;5;,
17;17;18;18;18;18;26;26;26;26;29;29;44;44;,19;19;27;27;29;41;41;44;,1;20;26;26;28;28;46;,17;19;19;29;44;,10;21;3;37;,
17;17;18;18;18;26;26;26;26;26;29;29;44;44;,19;19;27;29;31;41;41;44;,20;26;26;28;28;29;29;,17;19;20;29;44;,21;37;44;71;,
17;17;18;18;26;26;26;26;26;26;29;29;44;44;,19;19;27;29;35;41;41;44;,20;26;26;28;28;29;3;,17;19;24;29;44;,21;37;4;71;,
18;18;18;18;18;18;18;18;26;26;,19;19;27;29;3;31;41;44;,20;26;26;28;28;29;44;,17;19;26;29;44;,21;37;5;71;,
18;18;18;18;18;18;18;26;26;26;,19;19;27;29;3;35;41;44;,20;26;26;28;28;29;46;,17;20;20;29;44;,21;3;37;71;,
18;18;18;18;18;18;26;26;26;26;,17;17;17;29;44;,20;26;26;28;28;3;3;,17;20;24;29;44;,11;15;30;44;,
18;18;18;18;18;26;26;26;26;26;,17;17;18;29;44;,20;26;26;28;28;3;44;,17;20;26;29;44;,11;15;30;4;,
18;18;18;18;26;26;26;26;26;26;,17;17;19;29;44;,20;26;26;28;28;3;46;,17;24;24;29;44;,11;15;30;5;,
18;18;18;26;26;26;26;26;26;26;,17;17;27;29;44;,20;26;26;28;28;44;44;,17;24;26;29;44;,11;15;3;30;,
18;18;26;26;26;26;26;26;26;26;,17;17;29;31;44;,20;26;26;28;28;44;46;,17;26;26;29;44;,15;30;44;8;,
18;18;29;29;44;44;44;62;,17;17;29;44;61;,20;26;26;28;28;46;46;,18;18;18;29;44;,15;30;4;8;,
18;18;29;29;44;44;44;66;,17;18;18;29;44;,17;17;18;28;29;39;44;44;44;,18;18;19;29;44;,15;30;5;8;,
18;26;29;29;44;44;44;62;,17;18;19;29;44;,17;17;18;28;29;3;39;44;44;,18;18;20;29;44;,15;3;30;8;,
18;26;29;29;44;44;44;66;,17;18;27;29;44;,17;17;18;28;29;3;3;39;44;,18;18;24;29;44;,,
18;26;39;44;,17;18;29;31;44;,17;17;26;28;29;39;44;44;44;,18;18;26;29;44;,,
18;26;43;44;,17;18;29;44;61;,17;17;26;28;29;3;39;44;44;,18;19;19;29;44;,,
26;26;39;44;,17;19;19;29;44;,17;17;26;28;29;3;3;39;44;,18;19;20;29;44;,,
26;26;43;44;,17;19;27;29;44;,17;18;19;28;29;39;44;44;44;,18;19;24;29;44;,,
18;18;18;18;29;29;29;37;44;44;44;,17;19;29;31;44;,17;18;19;28;29;3;39;44;44;,18;19;26;29;44;,,
18;18;18;18;29;29;29;44;44;44;9;,17;19;29;44;61;,17;18;19;28;29;3;3;39;44;,18;20;20;29;44;,,
18;18;18;26;29;29;29;37;44;44;44;,18;18;19;29;44;,17;18;25;28;29;39;44;44;44;,18;20;24;29;44;,,
18;18;18;26;29;29;29;44;44;44;9;,18;19;19;29;44;,17;18;25;28;29;3;39;44;44;,18;20;26;29;44;,,
18;18;26;26;29;29;29;37;44;44;44;,18;19;27;29;44;,17;18;25;28;29;3;3;39;44;,18;24;24;29;44;,,
18;18;26;26;29;29;29;44;44;44;9;,18;19;29;31;44;,17;19;26;28;29;39;44;44;44;,18;24;26;29;44;,,
18;18;18;26;28;38;44;,18;19;29;44;61;,17;19;26;28;29;3;39;44;44;,18;26;26;29;44;,,
18;18;18;26;28;44;7;,19;19;19;29;44;,17;19;26;28;29;3;3;39;44;,19;19;19;29;44;,,
