EC1,EC2,EC3,EC4,EC5,EC6
17;29;44;44;58;58;,18;27;28;3;41;,27;3;7;,17;40;44;5;5;,18;18;19;19;44;,17;18;18;18;18;28;44;
17;29;4;44;44;44;,18;28;3;8;,26;28;29;29;44;9;,19;39;44;44;44;,18;18;19;20;44;,17;18;18;18;18;28;8;
17;29;4;44;44;46;,18;18;19;3;8;,18;28;29;9;,19;39;44;44;5;,18;18;19;25;44;,17;18;18;18;26;28;3;
17;29;4;44;44;58;,18;3;8;,17;17;27;29;29;3;44;,19;39;44;5;5;,18;18;19;44;44;,17;18;18;18;26;28;44;
17;29;4;4;44;44;,18;18;19;28;28;3;44;44;8;,17;19;27;29;29;3;44;,19;3;39;44;44;,18;18;20;25;44;,17;18;18;18;26;28;8;
19;29;3;3;44;44;,18;18;19;28;28;3;44;8;8;,17;20;27;29;29;3;44;,19;3;39;44;5;,18;18;25;25;44;,17;18;18;26;26;28;3;
19;29;3;44;44;44;,18;18;19;28;28;44;44;44;8;,19;19;27;29;29;3;44;,19;3;3;39;44;,18;18;25;44;44;,17;18;18;26;26;28;44;
19;29;3;44;44;46;,18;18;19;28;28;44;44;8;8;,19;20;27;29;29;3;44;,19;3;3;40;44;,18;19;19;22;44;,17;18;18;26;26;28;8;
19;29;3;44;44;58;,18;18;25;28;28;3;44;44;8;,20;20;27;29;29;3;44;,19;3;40;44;44;,18;19;19;26;44;,17;18;26;26;26;28;3;
19;29;3;4;44;44;,18;18;25;28;28;3;44;8;8;,17;17;27;27;3;,19;3;40;44;5;,18;19;20;22;44;,17;18;26;26;26;28;44;
19;29;44;44;44;44;,18;18;25;28;28;44;44;44;8;,17;19;27;27;3;,19;40;44;44;44;,18;19;20;26;44;,17;18;26;26;26;28;8;
19;29;44;44;44;46;,18;18;25;28;28;44;44;8;8;,17;20;27;27;3;,19;40;44;44;5;,18;19;22;25;44;,18;18;18;18;19;28;3;
19;29;44;44;44;58;,18;19;26;28;28;3;44;44;8;,19;19;27;27;3;,19;40;44;5;5;,18;19;22;44;44;,18;18;18;18;19;28;44;
